Strain,Replicate,Stack,passage,plate,Area.1,Area.12
Kn99,2,5,5,2_2-1_2_secondhalf,6.329019599999999,32.31606440000001
Kn99,3,5,9,2_3-1_3_secondhalf,1.0451592,9.4451424
KN99,1,6,10,p2_1,3.7935407999999997,42.90314000000001
KN99,1,1,11,p1_1,2.999994,44.6386204
XL280a,1,4,10,p2_1,0.999998,20.6967328
XL280a,1,1,11,p1_1,0.9483851999999999,30.077359199999993
XL280a,2,1,4,2_2-1_2_firsthalf,0.9548368,3.399993200000001
XL280a,3,5,9,2_3-1_3_secondhalf,0.35483800000000004,NA
XL280alpha,1,3,10,p2_1,2.2322536,21.5418924
XL280alpha,2,4,5,2_2-1_2_secondhalf,0.96774,2.8580588
